,Monthly Nominal GDP Index,Monthly Real GDP Index
2019 - Sep,21570.33826,19161.46245
2019 - Oct,21623.76588,19141.96768
2019 - Nov,21714.15007,19239.41847
2019 - Dec,21781.68005,19266.04452
2020 - Jan,21778.25718,19209.32653
2020 - Feb,21950.7154,19371.07984
2020 - Mar,20885.12342,18390.26178
2020 - Apr,18689.53029,16574.99805
2020 - May,19512.027,17282.66029
2020 - Jun,20708.63572,18282.09759
2020 - Jul,21101.4402,18536.09375
2020 - Aug,21339.19386,18738.11884
2020 - Sep,21646.64994,18962.23714
2020 - Oct,21811.07197,19056.66869
2020 - Nov,21587.90919,18846.65455
2020 - Dec,21715.13685,18874.97219
2021 - Jan,22215.99993,19221.7842
2021 - Feb,22030.69397,18992.81259
2021 - Mar,22694.85609,19440.15176
2021 - Apr,22823.19577,19455.10312
2021 - May,23081.21063,19578.17005
2021 - June,23236.39561,19605.69932
2021 - July,23322.89378,19564.45244
2021 - Aug,23592.57905,19705.59479
2021 - Sep,23735.78717,19754.00503
2021 - Oct,24212.00919,20005.46974
2021 - Nov,24314.0782,19976.56372
2021 - Dec,24521.27561,20042.97676
2022 - Jan,24522.19986,19905.03963
2022 - Feb,24731.96469,19938.56222
2022 - Mar,24967.27545,19935.1304
2022 - Apr,25000.68192,19865.01477
2022 - May,25228.28963,19917.74297
2022 - Jun,25516.45645,19909.58288
2022 - Jul,25473.49264,19898.56663
2022 - Aug,25886.25779,20200.87783
2022 - Sep,25812.07257,20071.15571
2022 - Oct,26028.62652,20127.4007
2022 - Nov,26231.13384,20222.02655
2022 - Dec,26154.10068,20204.80519
2023 - Jan,26427.42014,20283.65522
2023 - Feb,26437.75792,20193.96427
